language,project,merge_sha,file,tool,conflicts,classification
csharp,AutoMapper,072e5173,src/AutoMapper/ProfileMap.cs,diff3,0,correct
csharp,AutoMapper,072e5173,src/AutoMapper/ProfileMap.cs,csdiff,0,merge_diferente
csharp,AutoMapper,072e5173,src/AutoMapper/ProfileMap.cs,sepmerge,0,merge_diferente
csharp,AutoMapper,072e5173,src/AutoMapper/TypeMap.cs,diff3,0,correct
csharp,AutoMapper,072e5173,src/AutoMapper/TypeMap.cs,csdiff,0,merge_diferente
csharp,AutoMapper,072e5173,src/AutoMapper/TypeMap.cs,sepmerge,0,merge_diferente
csharp,AutoMapper,09d95b66,src/AutoMapper/QueryableExtensions/Impl/AssignableExpressionBinder.cs,diff3,1,reportou_conflito
csharp,AutoMapper,09d95b66,src/AutoMapper/QueryableExtensions/Impl/AssignableExpressionBinder.cs,csdiff,1,reportou_conflito
csharp,AutoMapper,09d95b66,src/AutoMapper/QueryableExtensions/Impl/AssignableExpressionBinder.cs,sepmerge,0,vazio
csharp,AutoMapper,372f9721,src/IntegrationTests/CustomMapFrom/MapObjectPropertyFromSubQuery.cs,diff3,1,reportou_conflito
csharp,AutoMapper,372f9721,src/IntegrationTests/CustomMapFrom/MapObjectPropertyFromSubQuery.cs,csdiff,0,merge_diferente
csharp,AutoMapper,372f9721,src/IntegrationTests/CustomMapFrom/MapObjectPropertyFromSubQuery.cs,sepmerge,0,merge_diferente
csharp,AutoMapper,388a3bf9,src/UnitTests/InterfaceMapping.cs,diff3,0,correct
csharp,AutoMapper,388a3bf9,src/UnitTests/InterfaceMapping.cs,csdiff,0,merge_diferente
csharp,AutoMapper,388a3bf9,src/UnitTests/InterfaceMapping.cs,sepmerge,0,correct
csharp,AutoMapper,3b1366a5,src/AutoMapper/ProfileMap.cs,diff3,1,reportou_conflito
csharp,AutoMapper,3b1366a5,src/AutoMapper/ProfileMap.cs,csdiff,0,merge_diferente
csharp,AutoMapper,3b1366a5,src/AutoMapper/ProfileMap.cs,sepmerge,0,merge_diferente
csharp,AutoMapper,3b1366a5,src/UnitTests/MemberResolution.cs,diff3,0,correct
csharp,AutoMapper,3b1366a5,src/UnitTests/MemberResolution.cs,csdiff,0,merge_diferente
csharp,AutoMapper,3b1366a5,src/UnitTests/MemberResolution.cs,sepmerge,0,correct
csharp,AutoMapper,555db84f,src/AutoMapper/Execution/TypeMapPlanBuilder.cs,diff3,0,correct
csharp,AutoMapper,555db84f,src/AutoMapper/Execution/TypeMapPlanBuilder.cs,csdiff,0,merge_diferente
csharp,AutoMapper,555db84f,src/AutoMapper/Execution/TypeMapPlanBuilder.cs,sepmerge,0,merge_diferente
csharp,AutoMapper,574593b8,src/AutoMapper/Configuration/MappingExpressionBase.cs,diff3,0,correct
csharp,AutoMapper,574593b8,src/AutoMapper/Configuration/MappingExpressionBase.cs,csdiff,0,merge_diferente
csharp,AutoMapper,574593b8,src/AutoMapper/Configuration/MappingExpressionBase.cs,sepmerge,0,merge_diferente
csharp,AutoMapper,75b8a0be,src/AutoMapper/Internal/InternalApi.cs,diff3,0,correct
csharp,AutoMapper,75b8a0be,src/AutoMapper/Internal/InternalApi.cs,csdiff,0,merge_diferente
csharp,AutoMapper,75b8a0be,src/AutoMapper/Internal/InternalApi.cs,sepmerge,0,merge_diferente
csharp,AutoMapper,75b8a0be,src/AutoMapper/Mappers/FromStringDictionaryMapper.cs,diff3,1,reportou_conflito
csharp,AutoMapper,75b8a0be,src/AutoMapper/Mappers/FromStringDictionaryMapper.cs,csdiff,0,merge_diferente
csharp,AutoMapper,75b8a0be,src/AutoMapper/Mappers/FromStringDictionaryMapper.cs,sepmerge,0,merge_diferente
csharp,AutoMapper,8252b63a,src/AutoMapper/TypeMap.cs,diff3,0,correct
csharp,AutoMapper,8252b63a,src/AutoMapper/TypeMap.cs,csdiff,0,merge_diferente
csharp,AutoMapper,8252b63a,src/AutoMapper/TypeMap.cs,sepmerge,0,merge_diferente
csharp,AutoMapper,8d4142a1,src/AutoMapper/Configuration/MemberConfigurationExpression.cs,diff3,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/Configuration/MemberConfigurationExpression.cs,csdiff,7,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/Configuration/MemberConfigurationExpression.cs,sepmerge,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/ExactMatchNamingConvention.cs,diff3,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/ExactMatchNamingConvention.cs,csdiff,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/ExactMatchNamingConvention.cs,sepmerge,0,vazio
csharp,AutoMapper,8d4142a1,src/AutoMapper/Execution/ExpressionBuilder.cs,diff3,2,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/Execution/ExpressionBuilder.cs,csdiff,2,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/Execution/ExpressionBuilder.cs,sepmerge,2,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/Execution/TypeMapPlanBuilder.cs,diff3,13,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/Execution/TypeMapPlanBuilder.cs,csdiff,22,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/Execution/TypeMapPlanBuilder.cs,sepmerge,13,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/Mappers/Internal/CollectionMapperExpressionFactory.cs,diff3,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/Mappers/Internal/CollectionMapperExpressionFactory.cs,csdiff,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/Mappers/Internal/CollectionMapperExpressionFactory.cs,sepmerge,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/TypeMap.cs,diff3,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/TypeMap.cs,csdiff,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/TypeMap.cs,sepmerge,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/TypePair.cs,diff3,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/TypePair.cs,csdiff,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/TypePair.cs,sepmerge,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/ValueTransformerConfiguration.cs,diff3,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/ValueTransformerConfiguration.cs,csdiff,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/AutoMapper/ValueTransformerConfiguration.cs,sepmerge,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/BidirectionalRelationshipsWithoutPR.cs,diff3,2,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/BidirectionalRelationshipsWithoutPR.cs,csdiff,2,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/BidirectionalRelationshipsWithoutPR.cs,sepmerge,2,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/Bug/NamingConventions.cs,diff3,2,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/Bug/NamingConventions.cs,csdiff,2,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/Bug/NamingConventions.cs,sepmerge,2,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/MaxDepthTests.cs,diff3,4,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/MaxDepthTests.cs,csdiff,6,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/MaxDepthTests.cs,sepmerge,4,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/OpenGenerics.cs,diff3,5,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/OpenGenerics.cs,csdiff,5,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/OpenGenerics.cs,sepmerge,5,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/ValueTransformers.cs,diff3,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/ValueTransformers.cs,csdiff,1,reportou_conflito
csharp,AutoMapper,8d4142a1,src/UnitTests/ValueTransformers.cs,sepmerge,1,reportou_conflito
csharp,AutoMapper,91e4fa31,src/AutoMapper/Execution/TypeMapPlanBuilder.cs,diff3,0,correct
csharp,AutoMapper,91e4fa31,src/AutoMapper/Execution/TypeMapPlanBuilder.cs,csdiff,0,merge_diferente
csharp,AutoMapper,91e4fa31,src/AutoMapper/Execution/TypeMapPlanBuilder.cs,sepmerge,0,merge_diferente
csharp,AutoMapper,97b9649f,src/AutoMapper/QueryableExtensions/ExpressionBuilder.cs,diff3,0,correct
csharp,AutoMapper,97b9649f,src/AutoMapper/QueryableExtensions/ExpressionBuilder.cs,csdiff,0,merge_diferente
csharp,AutoMapper,97b9649f,src/AutoMapper/QueryableExtensions/ExpressionBuilder.cs,sepmerge,0,merge_diferente
csharp,AutoMapper,b9f7f21a,src/AutoMapper/Mapper.cs,diff3,2,reportou_conflito
csharp,AutoMapper,b9f7f21a,src/AutoMapper/Mapper.cs,csdiff,0,merge_diferente
csharp,AutoMapper,b9f7f21a,src/AutoMapper/Mapper.cs,sepmerge,0,merge_diferente
csharp,AutoMapper,b9f7f21a,src/UnitTests/StaticMapping.cs,diff3,1,reportou_conflito
csharp,AutoMapper,b9f7f21a,src/UnitTests/StaticMapping.cs,csdiff,1,reportou_conflito
